email,phone,user_id,disbursement_date
ana.garcia@gmail.com,5512345001,USR001,2026-01-07
carlos.lopez@hotmail.com,5512345002,USR002,2026-01-08
laura.rodriguez@gmail.com,5512345005,USR005,2026-01-14
pedro.gonzalez@gmail.com,5512345006,USR006,2026-01-15
luis.sanchez@gmail.com,5512345008,USR008,2026-01-17
elena.ramirez@gmail.com,5512345009,USR009,2026-01-21
miguel.torres@hotmail.com,5512345010,USR010,2026-01-22
diana.flores@gmail.com,5512345011,USR011,2026-01-23
fernando.morales@gmail.com,5512345014,USR014,2026-01-29
patricia.jimenez@gmail.com,5512345015,USR015,2026-01-30
antonio.ruiz@outlook.com,5512345016,USR016,2026-01-31
isabel.alvarez@gmail.com,5512345017,USR017,2026-02-04
jorge.romero@gmail.com,5512345018,USR018,2026-02-05
alejandra.mendez@gmail.com,5512345021,USR021,2026-02-11
victor.castillo@gmail.com,5512345022,USR022,2026-02-12
hector.silva@gmail.com,5512345024,USR024,2026-02-14
gloria.vargas@gmail.com,5512345025,USR025,2026-02-18
oscar.guzman@gmail.com,5512345026,USR026,2026-02-19
beatriz.medina@outlook.com,5512345027,USR027,2026-02-20
martha.herrera@gmail.com,5512345029,USR029,2026-02-25
norma.delgado@gmail.com,5512345031,USR031,2026-02-27
ricardo.guerrero@gmail.com,5512345032,USR032,2026-02-28
